state,county,VEP
Alabama,Autauga,42730.67062884035
Alabama,Baldwin,175125.40036195063
Alabama,Barbour,19323.480503134822
Alabama,Bibb,16827.187029972327
Alabama,Blount,43575.245121874956
Alabama,Bullock,8019.618708860364
Alabama,Butler,14303.060988289373
Alabama,Calhoun,88573.79021326163
Alabama,Chambers,26672.23833627793
Alabama,Cherokee,19357.07153410779
Alabama,Chilton,33000.788571584926
Alabama,Choctaw,9758.674369517972
Alabama,Clarke,17514.363549305024
Alabama,Clay,10844.144541815851
Alabama,Cleburne,11152.222283025063
Alabama,Coffee,39132.591339764534
Alabama,Colbert,43263.3284056974
Alabama,Conecuh,8903.54269532044
Alabama,Coosa,8256.675413155303
Alabama,Covington,28203.989348645227
Alabama,Crenshaw,9942.945167998249
Alabama,Cullman,65492.912959864916
Alabama,Dale,36516.329898841446
Alabama,Dallas,28420.891434356385
Alabama,DeKalb,51749.38257321096
Alabama,Elmore,66227.11692255977
Alabama,Escambia,27424.677430072392
Alabama,Etowah,77855.37210165888
Alabama,Fayette,12276.082205006333
Alabama,Franklin,22967.627491830706
Alabama,Geneva,19981.864710204976
Alabama,Greene,5825.644514454572
Alabama,Hale,11020.737390359449
Alabama,Henry,13091.86438577839
Alabama,Houston,79318.98130833816
Alabama,Jackson,40086.5766193968
Alabama,Jefferson,505868.4497842368
Alabama,Lamar,10575.416294032115
Alabama,Lauderdale,71892.48423208618
Alabama,Lawrence,24836.248557669758
Alabama,Lee,130951.27514501478
Alabama,Limestone,76508.85163151394
Alabama,Lowndes,7949.557415688176
Alabama,Macon,15572.801959067529
Alabama,Madison,291899.34094888915
Alabama,Marengo,14447.022549602088
Alabama,Marion,22327.47841586016
Alabama,Marshall,70569.95735549336
Alabama,Mobile,306568.0643029128
Alabama,Monroe,14935.53211432324
Alabama,Montgomery,170284.45292687503
Alabama,Morgan,91641.13121296455
Alabama,Perry,6468.67282165137
Alabama,Pickens,14825.16158398349
Alabama,Pike,25729.769981550682
Alabama,Randolph,16569.01596335152
Alabama,Russell,42882.31014008974
Alabama,St. Clair,67270.35837020591
Alabama,Shelby,163623.8313568067
Alabama,Sumter,9514.89945902844
Alabama,Talladega,62406.37708532029
Alabama,Tallapoosa,31683.06041370253
Alabama,Tuscaloosa,171817.16368298442
Alabama,Walker,49587.07992229397
Alabama,Washington,11594.664148126143
Alabama,Wilcox,7927.483309620226
Alabama,Winston,18010.551063962852
Alaska,Aleutians East Borough,2975.361239083534
Alaska,Aleutians West Census Area,4366.724074924199
Alaska,Anchorage Municipality,212580.97775971345
Alaska,Bethel Census Area,11567.670458360022
Alaska,Bristol Bay Borough,627.496056191335
Alaska,Chugach Census Area,5203.067602705052
Alaska,Copper River Census Area,1936.8457296726467
Alaska,Denali Borough,1231.1510768130904
Alaska,Dillingham Census Area,3165.1358822173875
Alaska,Fairbanks North Star Borough,69375.50622463107
Alaska,Haines Borough,1623.097701576979
Alaska,Hoonah-Angoon Census Area,1759.4684250349744
Alaska,Juneau City and Borough,24191.02197174103
Alaska,Kenai Peninsula Borough,43855.10810953028
Alaska,Ketchikan Gateway Borough,10351.777644311462
Alaska,Kodiak Island Borough,9416.25540856116
Alaska,Kusilvak Census Area,4717.664118508411
Alaska,Lake and Peninsula Borough,977.4824583527636
Alaska,Matanuska-Susitna Borough,74461.27593233378
Alaska,Nome Census Area,6438.033245209275
Alaska,North Slope Borough,7799.833196943662
Alaska,Northwest Arctic Borough,4754.856133996956
Alaska,Petersburg Borough,2560.527220172849
Alaska,Prince of Wales-Hyder Census Area,4179.810356058695
Alaska,Sitka City and Borough,6402.748512566297
Alaska,Skagway Municipality,946.9659328237017
Alaska,Southeast Fairbanks Census Area,4980.86915119657
Alaska,Wrangell City and Borough,1627.8659086908951
Alaska,Yakutat City and Borough,509.24451976622026
Alaska,Yukon-Koyukuk Census Area,3736.367094464515
Arizona,Apache,43943.61153358824
Arizona,Cochise,88889.50073579716
Arizona,Coconino,103800.170838081
Arizona,Gila,38485.67269348327
Arizona,Graham,24801.89784448423
Arizona,Greenlee,6123.7375771172865
Arizona,La Paz,12085.499923859265
Arizona,Maricopa,3026866.030763617
Arizona,Mohave,158808.21192062116
Arizona,Navajo,70882.50855009587
Arizona,Pima,746576.0528677119
Arizona,Pinal,291412.23215146473
Arizona,Santa Cruz,31513.578661140615
Arizona,Yavapai,178204.96948075813
Arizona,Yuma,137069.52520085892
Arkansas,Arkansas,12444.522892143048
Arkansas,Ashley,13795.417839360562
Arkansas,Baxter,32164.9678423419
Arkansas,Benton,195289.04336061148
Arkansas,Boone,27226.665107364497
Arkansas,Bradley,7355.496604496196
Arkansas,Calhoun,3539.663059895649
Arkansas,Carroll,20672.5309940798
Arkansas,Chicot,7494.049932415941
Arkansas,Clark,16290.313913050566
Arkansas,Clay,10657.372196205255
Arkansas,Cleburne,18816.103634182135
Arkansas,Cleveland,5562.728881750846
Arkansas,Columbia,16808.016550480424
Arkansas,Conway,14963.759415332466
Arkansas,Craighead,78282.63027465597
Arkansas,Crawford,42489.99928576668
Arkansas,Crittenden,33268.71361002689
Arkansas,Cross,11877.203184579768
Arkansas,Dallas,4771.664273019869
Arkansas,Desha,8055.752613171664
Arkansas,Drew,12527.842123121814
Arkansas,Faulkner,88630.12982531097
Arkansas,Franklin,12157.118353823036
Arkansas,Fulton,8808.434205384334
Arkansas,Garland,74640.92456108969
Arkansas,Grant,12934.14039553512
Arkansas,Greene,32284.797747569784
Arkansas,Hempstead,14065.03512612331
Arkansas,Hot Spring,24378.83251593298
Arkansas,Howard,8938.561993092742
Arkansas,Independence,26930.83502883315
Arkansas,Izard,10458.903915671566
Arkansas,Jackson,12584.012391197386
Arkansas,Jefferson,49872.64485316607
Arkansas,Johnson,18140.18807500608
Arkansas,Lafayette,4753.877021462604
Arkansas,Lawrence,11792.94778246641
Arkansas,Lee,6580.346905053298
Arkansas,Lincoln,10164.946179409404
Arkansas,Little River,8756.944792981725
Arkansas,Logan,15239.929900037365
Arkansas,Lonoke,51426.68893659024
Arkansas,Madison,11936.181966059119
Arkansas,Marion,12937.88508007349
Arkansas,Miller,30635.264208417146
Arkansas,Mississippi,28261.134211089622
Arkansas,Monroe,5021.621965956166
Arkansas,Montgomery,6368.772228635308
Arkansas,Nevada,6022.388908835946
Arkansas,Newton,5549.6224858665455
Arkansas,Ouachita,16617.973810158073
Arkansas,Perry,7320.85827251626
Arkansas,Phillips,11541.117747260927
Arkansas,Pike,7392.943449879911
Arkansas,Poinsett,16411.079989413047
Arkansas,Polk,13955.503103375944
Arkansas,Pope,45847.108974416726
Arkansas,Prairie,6080.431519180704
Arkansas,Pulaski,289817.98750499217
Arkansas,Randolph,13225.289618393503
Arkansas,St. Francis,17231.165903316403
Arkansas,Saline,87861.53332381023
Arkansas,Scott,7027.83670738869
Arkansas,Searcy,5873.537698435679
Arkansas,Sebastian,91165.28125778848
Arkansas,Sevier,10677.031790031706
Arkansas,Sharp,12856.438191363912
Arkansas,Stone,9249.370809777576
Arkansas,Union,28092.623406862906
Arkansas,Van Buren,11962.394757827718
Arkansas,Washington,175690.3006579097
Arkansas,White,55173.24581723091
Arkansas,Woodruff,4636.855629638495
Arkansas,Yell,14347.758808770357
California,Alameda,1128798.6449588907
California,Alpine,850.9922629039717
California,Amador,28711.078903644204
California,Butte,141977.39003467956
California,Calaveras,31490.087334039235
California,Colusa,13269.23812910623
California,Contra Costa,761315.0524678433
California,Del Norte,18598.693143268963
California,El Dorado,128267.05284363203
California,Fresno,615889.8364958481
California,Glenn,18102.77297420302
California,Humboldt,92613.09157306464
California,Imperial,111497.69787502979
California,Inyo,12802.837017722784
