state,county,population
Alabama,Autauga,42496
Alabama,Baldwin,171296
Alabama,Barbour,19804
Alabama,Bibb,17790
Alabama,Blount,44383
Alabama,Bullock,7894
Alabama,Butler,15325
Alabama,Calhoun,89555
Alabama,Chambers,26481
Alabama,Cherokee,21032
Alabama,Chilton,33587
Alabama,Choctaw,10207
Alabama,Clarke,18704
Alabama,Clay,10550
Alabama,Cleburne,11582
Alabama,Coffee,39886
Alabama,Colbert,43457
Alabama,Conecuh,9672
Alabama,Coosa,8933
Alabama,Covington,29028
Alabama,Crenshaw,10742
Alabama,Cullman,64638
Alabama,Dale,37964
Alabama,Dallas,28970
Alabama,DeKalb,54064
Alabama,Elmore,63355
Alabama,Escambia,28536
Alabama,Etowah,80615
Alabama,Fayette,12935
Alabama,Franklin,23702
Alabama,Geneva,20588
Alabama,Greene,6455
Alabama,Hale,11331
Alabama,Henry,13568
Alabama,Houston,81009
Alabama,Jackson,40900
Alabama,Jefferson,508262
Alabama,Lamar,10813
Alabama,Lauderdale,74550
Alabama,Lawrence,25832
Alabama,Lee,128931
Alabama,Limestone,75110
Alabama,Lowndes,7719
Alabama,Macon,15248
Alabama,Madison,287370
Alabama,Marengo,14691
Alabama,Marion,23604
Alabama,Marshall,72114
Alabama,Mobile,316794
Alabama,Monroe,16445
Alabama,Montgomery,173227
Alabama,Morgan,91967
Alabama,Perry,7175
Alabama,Pickens,16102
Alabama,Pike,26989
Alabama,Randolph,17918
Alabama,Russell,43957
Alabama,St. Clair,68800
Alabama,Shelby,165616
Alabama,Sumter,10170
Alabama,Talladega,63253
Alabama,Tallapoosa,32068
Alabama,Tuscaloosa,165087
Alabama,Walker,49657
Alabama,Washington,12857
Alabama,Wilcox,8040
Alabama,Winston,18874
Alaska,Aleutians East Borough,2946
Alaska,Aleutians West Census Area,4691
Alaska,Anchorage Municipality,221182
Alaska,Bethel Census Area,11755
Alaska,Bristol Bay Borough,596
Alaska,Denali Borough,2242
Alaska,Dillingham Census Area,3392
Alaska,Fairbanks North Star Borough,74747
Alaska,Haines Borough,1688
Alaska,Hoonah-Angoon Census Area,1858
Alaska,Juneau City and Borough,25244
Alaska,Kenai Peninsula Borough,45585
Alaska,Ketchikan Gateway Borough,10833
Alaska,Kodiak Island Borough,10009
Alaska,Kusilvak Census Area,4936
Alaska,Lake and Peninsula Borough,860
Alaska,Matanuska-Susitna Borough,78654
Alaska,Nome Census Area,6547
Alaska,North Slope Borough,6891
Alaska,Northwest Arctic Borough,4964
Alaska,Petersburg Borough,2719
Alaska,Prince of Wales-Hyder Census Area,4884
Alaska,Sitka City and Borough,6744
Alaska,Skagway Municipality,1120
Alaska,Southeast Fairbanks Census Area,5074
Alaska,Valdez-Cordova Census Area,
Alaska,Wrangell City and Borough,1985
Alaska,Yakutat City and Borough,461
