state,county,VAP
Alabama,Autauga,44523
Alabama,Baldwin,182471
Alabama,Barbour,20134
Alabama,Bibb,17533
Alabama,Blount,45403
Alabama,Bullock,8356
Alabama,Butler,14903
Alabama,Calhoun,92289
Alabama,Chambers,27791
Alabama,Cherokee,20169
Alabama,Chilton,34385
Alabama,Choctaw,10168
Alabama,Clarke,18249
Alabama,Clay,11299
Alabama,Cleburne,11620
Alabama,Coffee,40774
Alabama,Colbert,45078
Alabama,Conecuh,9277
Alabama,Coosa,8603
Alabama,Covington,29387
Alabama,Crenshaw,10360
Alabama,Cullman,68240
Alabama,Dale,38048
Alabama,Dallas,29613
Alabama,DeKalb,53920
Alabama,Elmore,69005
Alabama,Escambia,28575
Alabama,Etowah,81121
Alabama,Fayette,12791
Alabama,Franklin,23931
Alabama,Geneva,20820
Alabama,Greene,6070
Alabama,Hale,11483
Alabama,Henry,13641
Alabama,Houston,82646
Alabama,Jackson,41768
Alabama,Jefferson,527087
Alabama,Lamar,11019
Alabama,Lauderdale,74908
Alabama,Lawrence,25878
Alabama,Lee,136444
Alabama,Limestone,79718
Alabama,Lowndes,8283
Alabama,Macon,16226
Alabama,Madison,304143
Alabama,Marengo,15053
Alabama,Marion,23264
Alabama,Marshall,73530
Alabama,Mobile,319427
Alabama,Monroe,15562
Alabama,Montgomery,177427
Alabama,Morgan,95485
Alabama,Perry,6740
Alabama,Pickens,15447
Alabama,Pike,26809
Alabama,Randolph,17264
Alabama,Russell,44681
Alabama,St. Clair,70092
Alabama,Shelby,170487
Alabama,Sumter,9914
Alabama,Talladega,65024
Alabama,Tallapoosa,33012
Alabama,Tuscaloosa,179024
Alabama,Walker,51667
Alabama,Washington,12081
Alabama,Wilcox,8260
Alabama,Winston,18766
Alaska,Aleutians East Borough,3120
Alaska,Aleutians West Census Area,4579
Alaska,Anchorage Municipality,222915
Alaska,Bethel Census Area,12130
Alaska,Bristol Bay Borough,658
Alaska,Chugach Census Area,5456
Alaska,Copper River Census Area,2031
Alaska,Denali Borough,1291
Alaska,Dillingham Census Area,3319
Alaska,Fairbanks North Star Borough,72748
Alaska,Haines Borough,1702
Alaska,Hoonah-Angoon Census Area,1845
Alaska,Juneau City and Borough,25367
Alaska,Kenai Peninsula Borough,45987
Alaska,Ketchikan Gateway Borough,10855
Alaska,Kodiak Island Borough,9874
Alaska,Kusilvak Census Area,4947
Alaska,Lake and Peninsula Borough,1025
Alaska,Matanuska-Susitna Borough,78081
Alaska,Nome Census Area,6751
Alaska,North Slope Borough,8179
Alaska,Northwest Arctic Borough,4986
Alaska,Petersburg Borough,2685
Alaska,Prince of Wales-Hyder Census Area,4383
Alaska,Sitka City and Borough,6714
Alaska,Skagway Municipality,993
Alaska,Southeast Fairbanks Census Area,5223
Alaska,Wrangell City and Borough,1707
Alaska,Yakutat City and Borough,534
Alaska,Yukon-Koyukuk Census Area,3918
Arizona,Apache,49105
Arizona,Cochise,99330
Arizona,Coconino,115992
Arizona,Gila,43006
Arizona,Graham,27715
Arizona,Greenlee,6843
Arizona,La Paz,13505
Arizona,Maricopa,3382386
Arizona,Mohave,177461
Arizona,Navajo,79208
Arizona,Pima,834265
Arizona,Pinal,325640
Arizona,Santa Cruz,35215
Arizona,Yavapai,199136
Arizona,Yuma,153169
Arkansas,Arkansas,13293
Arkansas,Ashley,14736
Arkansas,Baxter,34358
Arkansas,Benton,208604
Arkansas,Boone,29083
Arkansas,Bradley,7857
Arkansas,Calhoun,3781
Arkansas,Carroll,22082
Arkansas,Chicot,8005
Arkansas,Clark,17401
Arkansas,Clay,11384
Arkansas,Cleburne,20099
Arkansas,Cleveland,5942
Arkansas,Columbia,17954
Arkansas,Conway,15984
Arkansas,Craighead,83620
Arkansas,Crawford,45387
Arkansas,Crittenden,35537
Arkansas,Cross,12687
Arkansas,Dallas,5097
Arkansas,Desha,8605
Arkansas,Drew,13382
Arkansas,Faulkner,94673
Arkansas,Franklin,12986
Arkansas,Fulton,9409
Arkansas,Garland,79730
Arkansas,Grant,13816
Arkansas,Greene,34486
Arkansas,Hempstead,15024
Arkansas,Hot Spring,26041
Arkansas,Howard,9548
Arkansas,Independence,28767
Arkansas,Izard,11172
Arkansas,Jackson,13442
Arkansas,Jefferson,53273
Arkansas,Johnson,19377
Arkansas,Lafayette,5078
Arkansas,Lawrence,12597
Arkansas,Lee,7029
Arkansas,Lincoln,10858
Arkansas,Little River,9354
Arkansas,Logan,16279
Arkansas,Lonoke,54933
Arkansas,Madison,12750
Arkansas,Marion,13820
Arkansas,Miller,32724
Arkansas,Mississippi,30188
Arkansas,Monroe,5364
Arkansas,Montgomery,6803
Arkansas,Nevada,6433
Arkansas,Newton,5928
Arkansas,Ouachita,17751
Arkansas,Perry,7820
Arkansas,Phillips,12328
Arkansas,Pike,7897
Arkansas,Poinsett,17530
Arkansas,Polk,14907
Arkansas,Pope,48973
Arkansas,Prairie,6495
Arkansas,Pulaski,309578
Arkansas,Randolph,14127
Arkansas,St. Francis,18406
Arkansas,Saline,93852
Arkansas,Scott,7507
Arkansas,Searcy,6274
Arkansas,Sebastian,97381
Arkansas,Sevier,11405
Arkansas,Sharp,13733
Arkansas,Stone,9880
Arkansas,Union,30008
Arkansas,Van Buren,12778
Arkansas,Washington,187669
Arkansas,White,58935
Arkansas,Woodruff,4953
Arkansas,Yell,15326
California,Alameda,1338388
California,Alpine,1009
California,Amador,34042
California,Butte,168339
California,Calaveras,37337
California,Colusa,15733
California,Contra Costa,902672
California,Del Norte,22052
California,El Dorado,152083
California,Fresno,730245
California,Glenn,21464
California,Humboldt,109809
California,Imperial,132200
California,Inyo,15180
California,Kern,651739
California,Kings,111935
California,Lake,54080
California,Lassen,27226
California,Los Angeles,7959791
California,Madera,113229
California,Marin,209451
California,Mariposa,14187
California,Mendocino,72751
California,Merced,200223
California,Modoc,6905
California,Mono,10555
California,Monterey,327777
California,Napa,110473
California,Nevada,84331
California,Orange,2519658
California,Placer,313117
California,Plumas,16340
California,Riverside,1823505
California,Sacramento,1217309
California,San Benito,47915
California,San Bernardino,1629042
California,San Diego,2608768
California,San Francisco,760738
California,San Joaquin,573400
California,San Luis Obispo,231744
California,San Mateo,610236
California,Santa Barbara,350805
California,Santa Clara,1529717
California,Santa Cruz,219764
California,Shasta,143512
California,Sierra,2698
California,Siskiyou,35590
California,Solano,354770
California,Sonoma,393152
California,Stanislaus,407908
California,Sutter,74581
California,Tehama,49851
California,Trinity,13419
California,Tulare,331093
California,Tuolumne,46268
California,Ventura,656198
California,Yolo,171256
California,Yuba,59545
Colorado,Adams,386271
Colorado,Alamosa,12544
Colorado,Arapahoe,501680
Colorado,Archuleta,10948
Colorado,Baca,2753
Colorado,Bent,4745
Colorado,Boulder,268640
Colorado,Broomfield,57916
Colorado,Chaffee,16471
Colorado,Cheyenne,1338
Colorado,Clear Creek,8011
Colorado,Conejos,5515
Colorado,Costilla,2879
Colorado,Crowley,5284
Colorado,Custer,3996
Colorado,Delta,24993
Colorado,Denver,581062
Colorado,Dolores,1924
Colorado,Douglas,266006
Colorado,Eagle,43263
Colorado,Elbert,20395
Colorado,El Paso,558711
Colorado,Fremont,41204
Colorado,Garfield,46166
Colorado,Gilpin,4916
Colorado,Grand,13090
Colorado,Gunnison,14028
Colorado,Hinsdale,657
Colorado,Huerfano,5722
Colorado,Jackson,1137
Colorado,Jefferson,469066
Colorado,Kiowa,1099
Colorado,Kit Carson,5305
Colorado,Lake,5884
Colorado,La Plata,45269
Colorado,Larimer,289333
Colorado,Las Animas,12044
Colorado,Lincoln,4485
Colorado,Logan,17431
Colorado,Mesa,123055
Colorado,Mineral,773
Colorado,Moffat,9993
Colorado,Montezuma,20464
Colorado,Montrose,33608
Colorado,Morgan,21390
Colorado,Otero,14318
Colorado,Ouray,4183
Colorado,Park,14595
Colorado,Phillips,3401
Colorado,Pitkin,14481
Colorado,Prowers,8960
Colorado,Pueblo,130863
Colorado,Rio Blanco,4889
Colorado,Rio Grande,8959
Colorado,Routt,20060
Colorado,Saguache,5096
Colorado,San Juan,600
Colorado,San Miguel,6515
Colorado,Sedgwick,1920
Colorado,Summit,25853
Colorado,Teller,20544
Colorado,Washington,3722
Colorado,Weld,241833
Colorado,Yuma,7320
Connecticut,Fairfield,743170
Connecticut,Hartford,713425
Connecticut,Litchfield,151879
Connecticut,Middlesex,135983
Connecticut,New Haven,690994
Connecticut,New London,216922
Connecticut,Tolland,123584
Connecticut,Windham,93270
Delaware,Kent,139805
Delaware,New Castle,449876
Delaware,Sussex,193862
District of Columbia,District of Columbia,575161
Florida,Alachua,227905
Florida,Baker,21638
Florida,Bay,139659
Florida,Bradford,22992
Florida,Brevard,497095
Florida,Broward,1546038
Florida,Calhoun,10923
Florida,Charlotte,164240
Florida,Citrus,131487
Florida,Clay,166139
Florida,Collier,313169
Florida,Columbia,54813
Florida,DeSoto,27008
Florida,Dixie,13730
Florida,Duval,781603
Florida,Escambia,258145
Florida,Flagler,96386
Florida,Franklin,10555
Florida,Gadsden,34617
Florida,Gilchrist,14174
Florida,Glades,10088
Florida,Gulf,11821
Florida,Hamilton,11329
Florida,Hardee,18840
Florida,Hendry,29444
Florida,Hernando,158664
Florida,Highlands,83524
Florida,Hillsborough,1139031
Florida,Holmes,15598
Florida,Indian River,134386
Florida,Jackson,38271
Florida,Jefferson,12055
Florida,Lafayette,6819
Florida,Lake,312444
Florida,Lee,628325
Florida,Leon,236591
Florida,Levy,34293
Florida,Liberty,6507
Florida,Madison,14388
Florida,Manatee,326633
Florida,Marion,308357
Florida,Martin,132255
Florida,Miami-Dade,2178620
Florida,Monroe,70617
Florida,Nassau,72186
Florida,Okaloosa,164455
Florida,Okeechobee,30932
Florida,Orange,1115798
Florida,Osceola,297816
Florida,Palm Beach,1208624
Florida,Pasco,448026
Florida,Pinellas,810121
Florida,Polk,566436
Florida,Putnam,58184
Florida,St. Johns,210601
Florida,St. Lucie,263741
Florida,Santa Rosa,145194
Florida,Sarasota,374464
Florida,Seminole,370782
Florida,Sumter,120696
Florida,Suwannee,34279
Florida,Taylor,17482
Florida,Union,13093
Florida,Volusia,458123
Florida,Wakulla,26854
Florida,Walton,59955
Florida,Washington,20174
Georgia,Appling,13958
Georgia,Atkinson,6129
Georgia,Bacon,8310
Georgia,Baker,2275
Georgia,Baldwin,35732
Georgia,Banks,13900
Georgia,Barrow,62195
Georgia,Bartow,83570
Georgia,Ben Hill,13165
Georgia,Berrien,13690
Georgia,Bibb,120902
Georgia,Bleckley,9613
Georgia,Brantley,13692
Georgia,Brooks,12747
Georgia,Bryan,31828
Georgia,Bulloch,64494
Georgia,Burke,18778
Georgia,Butts,20360
Georgia,Calhoun,4687
Georgia,Camden,41808
Georgia,Candler,8241
Georgia,Carroll,90996
Georgia,Catoosa,52448
Georgia,Charlton,10135
Georgia,Chatham,234715
Georgia,Chattahoochee,7199
Georgia,Chattooga,19416
Georgia,Cherokee,202928
Georgia,Clarke,106830
Georgia,Clay,2246
Georgia,Clayton,220578
Georgia,Clinch,5034
Georgia,Cobb,591848
Georgia,Coffee,32419
Georgia,Colquitt,34193
Georgia,Columbia,114823
Georgia,Cook,12938
Georgia,Coweta,111155
Georgia,Crawford,9606
Georgia,Crisp,15570
Georgia,Dade,12987
Georgia,Dawson,21441
Georgia,Decatur,22443
Georgia,DeKalb,595276
Georgia,Dodge,15709
Georgia,Dooly,9187
Georgia,Dougherty,66266
Georgia,Douglas,108428
Georgia,Early,8315
Georgia,Echols,2709
Georgia,Effingham,47295
Georgia,Elbert,15493
