state,county,Population 18 to 24 years with Bachelor's degree or higher,Population 25 years and over with Bachelor's degree or higher
Alabama,Autauga,612,10721
Alabama,Baldwin,1360,49636
Alabama,Barbour,84,2067
Alabama,Bibb,24,1814
Alabama,Blount,127,5276
Alabama,Bullock,44,697
Alabama,Butler,52,2205
Alabama,Calhoun,849,14890
Alabama,Chambers,89,3433
Alabama,Cherokee,59,2476
Alabama,Chilton,39,4107
Alabama,Choctaw,25,1252
Alabama,Clarke,111,2303
Alabama,Clay,16,1104
Alabama,Cleburne,38,1688
Alabama,Coffee,247,7808
Alabama,Colbert,159,6788
Alabama,Conecuh,0,1221
Alabama,Coosa,29,957
Alabama,Covington,142,4117
Alabama,Crenshaw,26,1792
Alabama,Cullman,191,8954
Alabama,Dale,341,6107
Alabama,Dallas,100,4263
Alabama,DeKalb,280,6753
Alabama,Elmore,250,14620
Alabama,Escambia,100,3213
Alabama,Etowah,339,12775
Alabama,Fayette,24,1422
Alabama,Franklin,88,3171
Alabama,Geneva,33,2445
Alabama,Greene,67,584
Alabama,Hale,8,1563
Alabama,Henry,20,2308
Alabama,Houston,444,16123
Alabama,Jackson,50,6018
Alabama,Jefferson,7862,153252
Alabama,Lamar,53,1107
Alabama,Lauderdale,980,16071
Alabama,Lawrence,163,3709
Alabama,Lee,3410,36179
Alabama,Limestone,657,16936
Alabama,Lowndes,32,1010
Alabama,Macon,122,2443
Alabama,Madison,4610,110689
Alabama,Marengo,34,2229
Alabama,Marion,78,2842
Alabama,Marshall,359,13298
Alabama,Mobile,2689,68237
Alabama,Monroe,134,1990
Alabama,Montgomery,1646,50835
Alabama,Morgan,284,17614
Alabama,Perry,0,1020
Alabama,Pickens,119,2075
Alabama,Pike,762,5721
Alabama,Randolph,53,2735
Alabama,Russell,333,6871
Alabama,St. Clair,392,11295
Alabama,Shelby,1828,65337
Alabama,Sumter,16,1410
Alabama,Talladega,190,8567
Alabama,Tallapoosa,57,5418
Alabama,Tuscaloosa,2714,40782
Alabama,Walker,181,5989
Alabama,Washington,14,1607
Alabama,Wilcox,8,823
Alabama,Winston,81,2282
Alaska,Aleutians East Borough,46,438
Alaska,Aleutians West Census Area,7,716
Alaska,Anchorage Municipality,2072,70359
Alaska,Bethel Census Area,43,1115
Alaska,Bristol Bay Borough,5,145
Alaska,Chugach Census Area,22,1362
Alaska,Copper River Census Area,0,593
Alaska,Denali Borough,6,730
Alaska,Dillingham Census Area,16,563
Alaska,Fairbanks North Star Borough,813,19954
Alaska,Haines Borough,0,460
Alaska,Hoonah-Angoon Census Area,0,342
Alaska,Juneau City and Borough,289,8769
Alaska,Kenai Peninsula Borough,220,10622
Alaska,Ketchikan Gateway Borough,63,2467
Alaska,Kodiak Island Borough,33,2652
Alaska,Kusilvak Census Area,2,132
Alaska,Lake and Peninsula Borough,59,166
Alaska,Matanuska-Susitna Borough,321,15297
Alaska,Nome Census Area,27,937
Alaska,North Slope Borough,46,936
Alaska,Northwest Arctic Borough,16,639
Alaska,Petersburg Borough,4,634
Alaska,Prince of Wales-Hyder Census Area,11,767
Alaska,Sitka City and Borough,49,2095
Alaska,Skagway Municipality,4,254
Alaska,Southeast Fairbanks Census Area,86,979
Alaska,Wrangell City and Borough,12,317
Alaska,Yakutat City and Borough,3,77
Alaska,Yukon-Koyukuk Census Area,24,450
Arizona,Apache,61,5705
Arizona,Cochise,359,22581
Arizona,Coconino,2022,31726
Arizona,Gila,141,7634
Arizona,Graham,171,3566
Arizona,Greenlee,0,960
Arizona,La Paz,7,1963
Arizona,Maricopa,44629,986590
Arizona,Mohave,672,21749
Arizona,Navajo,375,11588
Arizona,Pima,10876,235332
Arizona,Pinal,1736,65075
Arizona,Santa Cruz,184,6209
Arizona,Yavapai,530,47221
Arizona,Yuma,934,20799
Arkansas,Arkansas,56,2022
Arkansas,Ashley,47,1663
Arkansas,Baxter,65,5689
Arkansas,Benton,2392,62035
Arkansas,Boone,102,4681
Arkansas,Bradley,31,1040
Arkansas,Calhoun,43,404
Arkansas,Carroll,104,4216
Arkansas,Chicot,2,1067
Arkansas,Clark,340,3281
Arkansas,Clay,37,1425
Arkansas,Cleburne,42,3135
Arkansas,Cleveland,26,913
Arkansas,Columbia,185,2992
Arkansas,Conway,115,2581
Arkansas,Craighead,1459,19018
Arkansas,Crawford,186,7768
Arkansas,Crittenden,156,5388
Arkansas,Cross,36,1681
Arkansas,Dallas,33,551
Arkansas,Desha,37,1082
Arkansas,Drew,219,2634
Arkansas,Faulkner,2447,24822
Arkansas,Franklin,87,1374
Arkansas,Fulton,7,1181
Arkansas,Garland,599,16392
Arkansas,Grant,29,2600
Arkansas,Greene,374,5242
Arkansas,Hempstead,93,2303
Arkansas,Hot Spring,187,3701
Arkansas,Howard,19,1209
Arkansas,Independence,113,4665
Arkansas,Izard,43,1504
