state,county,median_age
Alabama,Autauga,39.2
Alabama,Baldwin,43.7
Alabama,Barbour,40.8
Alabama,Bibb,40.2
Alabama,Blount,41.1
Alabama,Bullock,39.7
Alabama,Butler,42
Alabama,Calhoun,40.1
Alabama,Chambers,43
Alabama,Cherokee,47.6
Alabama,Chilton,39.8
Alabama,Choctaw,46.5
Alabama,Clarke,42.9
Alabama,Clay,44.4
Alabama,Cleburne,42.5
Alabama,Coffee,39.4
Alabama,Colbert,42.2
Alabama,Conecuh,45.7
Alabama,Coosa,49.6
Alabama,Covington,43.4
Alabama,Crenshaw,41.8
Alabama,Cullman,40.9
Alabama,Dale,38.1
Alabama,Dallas,40.8
Alabama,DeKalb,40
Alabama,Elmore,39.4
Alabama,Escambia,40.2
Alabama,Etowah,41.8
Alabama,Fayette,43.6
Alabama,Franklin,38.8
Alabama,Geneva,43.5
Alabama,Greene,44.1
Alabama,Hale,40.8
Alabama,Henry,44.9
Alabama,Houston,40.1
Alabama,Jackson,44
Alabama,Jefferson,37.9
Alabama,Lamar,44.3
Alabama,Lauderdale,41.3
Alabama,Lawrence,42.8
Alabama,Lee,33.2
Alabama,Limestone,40.1
Alabama,Lowndes,41.8
Alabama,Macon,39.3
Alabama,Madison,38.6
Alabama,Marengo,41.9
Alabama,Marion,44.1
Alabama,Marshall,38.8
Alabama,Mobile,38.1
Alabama,Monroe,44.1
Alabama,Montgomery,36.9
Alabama,Morgan,40.8
Alabama,Perry,39.6
Alabama,Pickens,41.9
Alabama,Pike,31.8
Alabama,Randolph,44.2
Alabama,Russell,37.1
Alabama,St. Clair,40.6
Alabama,Shelby,39.9
Alabama,Sumter,36.9
Alabama,Talladega,41.3
Alabama,Tallapoosa,45.6
Alabama,Tuscaloosa,33.7
Alabama,Walker,42.2
Alabama,Washington,43.3
Alabama,Wilcox,40.9
Alabama,Winston,45.7
Alaska,Aleutians East Borough,44.6
Alaska,Aleutians West Census Area,41.9
Alaska,Anchorage Municipality,34.7
Alaska,Bethel Census Area,27.6
Alaska,Bristol Bay Borough,44.1
Alaska,Chugach Census Area,39.5
Alaska,Copper River Census Area,39.3
Alaska,Denali Borough,40.3
Alaska,Dillingham Census Area,30.5
Alaska,Fairbanks North Star Borough,32.3
Alaska,Haines Borough,48.5
Alaska,Hoonah-Angoon Census Area,50.5
Alaska,Juneau City and Borough,38.7
Alaska,Kenai Peninsula Borough,41.2
Alaska,Ketchikan Gateway Borough,39.9
Alaska,Kodiak Island Borough,35.4
Alaska,Kusilvak Census Area,23.5
Alaska,Lake and Peninsula Borough,34.8
Alaska,Matanuska-Susitna Borough,36.2
Alaska,Nome Census Area,28.6
Alaska,North Slope Borough,34
Alaska,Northwest Arctic Borough,28.1
Alaska,Petersburg Borough,42.1
Alaska,Prince of Wales-Hyder Census Area,42.8
Alaska,Sitka City and Borough,40.2
Alaska,Skagway Municipality,40.8
Alaska,Southeast Fairbanks Census Area,38
Alaska,Wrangell City and Borough,49
Alaska,Yakutat City and Borough,44.7
Alaska,Yukon-Koyukuk Census Area,36.1
Arizona,Apache,35.9
Arizona,Cochise,41.5
Arizona,Coconino,31.7
Arizona,Gila,50.5
Arizona,Graham,33.7
Arizona,Greenlee,34.7
Arizona,La Paz,57.7
Arizona,Maricopa,37
Arizona,Mohave,52.9
Arizona,Navajo,38.3
Arizona,Pima,39.1
Arizona,Pinal,40.2
Arizona,Santa Cruz,37.7
Arizona,Yavapai,54.7
Arizona,Yuma,35.1
Arkansas,Arkansas,42
Arkansas,Ashley,43.2
Arkansas,Baxter,51.7
Arkansas,Benton,35.7
Arkansas,Boone,42.3
Arkansas,Bradley,40.4
Arkansas,Calhoun,45.7
Arkansas,Carroll,44.7
Arkansas,Chicot,44
Arkansas,Clark,32.9
Arkansas,Clay,43.4
Arkansas,Cleburne,49.3
Arkansas,Cleveland,44.1
Arkansas,Columbia,35.5
Arkansas,Conway,42.3
Arkansas,Craighead,34.3
Arkansas,Crawford,39.6
Arkansas,Crittenden,35.7
Arkansas,Cross,40.9
Arkansas,Dallas,45.8
Arkansas,Desha,39.8
Arkansas,Drew,37.5
Arkansas,Faulkner,33.9
Arkansas,Franklin,41.8
Arkansas,Fulton,48.1
Arkansas,Garland,45.3
Arkansas,Grant,41.3
Arkansas,Greene,38.4
Arkansas,Hempstead,39.7
Arkansas,Hot Spring,42.2
Arkansas,Howard,38.5
Arkansas,Independence,39.1
Arkansas,Izard,47.8
Arkansas,Jackson,40.4
Arkansas,Jefferson,39.6
Arkansas,Johnson,38.1
Arkansas,Lafayette,48.1
Arkansas,Lawrence,40.4
Arkansas,Lee,42.1
Arkansas,Lincoln,39.2
Arkansas,Little River,43.1
Arkansas,Logan,43.8
Arkansas,Lonoke,37.1
Arkansas,Madison,41.8
Arkansas,Marion,51.8
Arkansas,Miller,39.3
Arkansas,Mississippi,36.6
Arkansas,Monroe,46.2
Arkansas,Montgomery,51.1
Arkansas,Nevada,43.5
Arkansas,Newton,49.2
Arkansas,Ouachita,43.3
Arkansas,Perry,44
Arkansas,Phillips,39.7
Arkansas,Pike,43.4
Arkansas,Poinsett,40.1
Arkansas,Polk,44.6
Arkansas,Pope,36.3
Arkansas,Prairie,46.5
Arkansas,Pulaski,37.7
Arkansas,Randolph,39.7
Arkansas,St. Francis,39.1
Arkansas,Saline,40.1
Arkansas,Scott,42.5
Arkansas,Searcy,48.2
Arkansas,Sebastian,38.1
Arkansas,Sevier,35.1
Arkansas,Sharp,47.6
Arkansas,Stone,49.5
Arkansas,Union,40.2
Arkansas,Van Buren,49.2
Arkansas,Washington,32.6
Arkansas,White,37.9
Arkansas,Woodruff,45.5
Arkansas,Yell,40.3
California,Alameda,38.1
California,Alpine,49.1
California,Amador,50
California,Butte,36.7
California,Calaveras,51.9
California,Colusa,35.4
California,Contra Costa,40
California,Del Norte,40.3
California,El Dorado,46.4
California,Fresno,32.8
California,Glenn,35.9
California,Humboldt,39
