NAME,Median Age (years)
Alabama,39.8
Alaska,35.6
Arizona,30.1
Arkansas,37.4
California,24.7
Colorado,22.6
Connecticut,21.4
Delaware,28.4
District of Columbia,22.1
Florida,26.8
Georgia,29.4
Hawaii,22.3
Idaho,29.6
Illinois,24.6
Indiana,31.3
Iowa,26.3
Kansas,29.3
Kentucky,36.3
Louisiana,38.9
Maine,20.6
Maryland,23.1
Massachusetts,21.2
Michigan,28.5
Minnesota,23.5
Mississippi,43.1
Missouri,32.5
Montana,28.8
Nebraska,29.0
Nevada,24.5
New Hampshire,19.8
New Jersey,23.0
New Mexico,34.7
New York,22.0
North Carolina,28.9
North Dakota,28.4
Ohio,30.4
Oklahoma,36.4
Oregon,22.4
Pennsylvania,27.7
Rhode Island,21.7
South Carolina,32.8
South Dakota,31.4
Tennessee,33.9
Texas,31.0
Utah,22.3
Vermont,19.8
Virginia,24.7
Washington,24.3
West Virginia,39.5
Wisconsin,25.4
Wyoming,28.0
