,state,county,candidate,party,total_votes,won,lat,lng,population,density
0,Delaware,Kent,Joe Biden,DEM,44552,True,39.161,-75.5202,125931.0,617.0
1,Delaware,New Castle,Joe Biden,DEM,195034,True,39.7415,-75.5416,70655.0,2503.0
2,Delaware,Sussex,Donald Trump,REP,71230,True,38.9091,-75.4227,11463.0,449.0
3,District of Columbia,Ward 1,Joe Biden,DEM,39041,True,38.9072,-77.0369,82404.0,12910.0
4,District of Columbia,Ward 2,Joe Biden,DEM,29078,True,38.9063,-77.034,76492.0,4624.0
5,District of Columbia,Ward 3,Joe Biden,DEM,39397,True,38.9884,-77.09,82450.0,3059.0
6,District of Columbia,Ward 4,Joe Biden,DEM,42489,True,38.931,-77.038,86085.0,3740.0
7,District of Columbia,Ward 5,Joe Biden,DEM,43320,True,38.9717,-77.0089,88948.0,3369.0
8,District of Columbia,Ward 6,Joe Biden,DEM,56719,True,38.8869,-76.9896,102233.0,6893.0
9,District of Columbia,Ward 7,Joe Biden,DEM,36382,True,38.8582,-76.9478,81270.0,3734.0
10,District of Columbia,Ward 8,Joe Biden,DEM,30897,True,38.8409,-76.9859,83272.0,3713.0
11,Florida,Alachua,Joe Biden,DEM,89704,True,29.6804,-82.3459,203541.0,816.0
12,Florida,Baker,Donald Trump,REP,11911,True,30.2809,-82.1253,6732.0,534.0
13,Florida,Bay,Donald Trump,REP,66097,True,30.1995,-85.6003,149366.0,395.0
14,Florida,Bradford,Donald Trump,REP,10334,True,29.9474,-82.1129,5415.0,291.0
15,Florida,Brevard,Donald Trump,REP,207883,True,27.9631,-80.6593,496640.0,508.0
16,Florida,Broward,Joe Biden,DEM,618752,True,26.1412,-80.1464,181818.0,2029.0
17,Florida,Calhoun,Donald Trump,REP,5274,True,30.443,-85.0455,3273.0,396.0
18,Florida,Charlotte,Donald Trump,REP,73243,True,26.9918,-82.114,64335.0,872.0
19,Florida,Citrus,Donald Trump,REP,65352,True,28.8119,-82.5392,86578.0,223.0
20,Florida,Clay,Donald Trump,REP,84480,True,30.1356,-81.7674,31058.0,891.0
21,Florida,Collier,Donald Trump,REP,128950,True,26.1844,-81.7031,30376.0,3003.0
22,Florida,Columbia,Donald Trump,REP,23836,True,30.1901,-82.6471,12166.0,396.0
23,Florida,DeSoto,Donald Trump,REP,8313,True,27.1862,-81.8521,8859.0,472.0
24,Florida,Dixie,Donald Trump,REP,6759,True,29.6386,-83.1248,2591.0,541.0
25,Florida,Duval,Joe Biden,DEM,252556,True,30.3322,-81.6749,1165107.0,466.0
26,Florida,Escambia,Donald Trump,REP,96674,True,30.4413,-87.1911,360711.0,901.0
27,Florida,Flagler,Donald Trump,REP,43043,True,29.5389,-81.2457,386415.0,357.0
28,Florida,Franklin,Donald Trump,REP,4675,True,29.8555,-84.6685,2681.0,216.0
29,Florida,Gadsden,Joe Biden,DEM,16153,True,30.5661,-84.5858,7237.0,239.0
30,Florida,Gilchrist,Donald Trump,REP,7895,True,29.6092,-82.8147,2042.0,232.0
31,Florida,Glades,Donald Trump,REP,3782,True,26.8338,-81.0984,2302.0,834.0
32,Florida,Gulf,Donald Trump,REP,6113,True,29.8274,-85.3075,3502.0,144.0
33,Florida,Hamilton,Donald Trump,REP,3815,True,30.5061,-82.954,4157.0,664.0
34,Florida,Hardee,Donald Trump,REP,6122,True,27.5469,-81.8102,4801.0,567.0
35,Florida,Hendry,Donald Trump,REP,7906,True,26.7529,-80.9399,7910.0,678.0
36,Florida,Hernando,Donald Trump,REP,70412,True,28.4798,-82.53,165526.0,732.0
37,Florida,Highlands,Donald Trump,REP,34873,True,27.477,-81.453,63287.0,398.0
38,Florida,Hillsborough,Joe Biden,DEM,376367,True,27.9945,-82.4447,2771700.0,1340.0
39,Florida,Holmes,Donald Trump,REP,8080,True,30.7786,-85.6862,2697.0,221.0
40,Florida,Indian River,Donald Trump,REP,58872,True,27.6132,-80.4163,174748.0,939.0
41,Florida,Jackson,Donald Trump,REP,15488,True,30.7943,-85.2259,6607.0,137.0
42,Florida,Jefferson,Donald Trump,REP,4479,True,30.5423,-83.8722,2259.0,217.0
43,Florida,Lafayette,Donald Trump,REP,3128,True,30.0511,-83.1768,1526.0,655.0
44,Florida,Lake,Donald Trump,REP,125859,True,28.7672,-81.8962,154301.0,232.0
45,Florida,Lee,Donald Trump,REP,233247,True,26.6443,-81.9957,649339.0,690.0
46,Florida,Leon,Joe Biden,DEM,103517,True,30.4551,-84.2527,254250.0,737.0
47,Florida,Levy,Donald Trump,REP,16749,True,29.374,-82.4579,2718.0,153.0
48,Florida,Liberty,Donald Trump,REP,2846,True,30.4255,-84.9773,1062.0,250.0
49,Florida,Madison,Donald Trump,REP,5576,True,30.4716,-83.413,2790.0,408.0
50,Florida,Manatee,Donald Trump,REP,124987,True,27.4901,-82.5757,57346.0,1543.0
51,Florida,Marion,Donald Trump,REP,127826,True,29.178,-82.1511,174618.0,490.0
52,Florida,Martin,Donald Trump,REP,61168,True,27.1735,-80.2862,25038.0,697.0
53,Florida,Miami-Dade,Joe Biden,DEM,617864,True,25.784,-80.2101,6076316.0,4945.0
54,Florida,Monroe,Donald Trump,REP,25693,True,24.5642,-81.7775,24495.0,1689.0
55,Florida,Nassau,Donald Trump,REP,42566,True,30.635,-81.5678,13346.0,222.0
56,Florida,Okaloosa,Donald Trump,REP,79798,True,30.7477,-86.5785,24687.0,575.0
57,Florida,Okeechobee,Donald Trump,REP,11470,True,27.2413,-80.8298,5574.0,530.0
58,Florida,Orange,Joe Biden,DEM,395014,True,28.4773,-81.337,1792047.0,994.0
59,Florida,Osceola,Joe Biden,DEM,97297,True,28.3041,-81.4169,366003.0,1299.0
60,Florida,Palm Beach,Joe Biden,DEM,433572,True,26.7469,-80.132,111006.0,796.0
61,Florida,Pasco,Donald Trump,REP,179621,True,28.2409,-82.1797,79795.0,652.0
62,Florida,Pinellas,Joe Biden,DEM,277450,True,27.7931,-82.6652,264001.0,1648.0
63,Florida,Polk,Donald Trump,REP,194586,True,28.0557,-81.9545,300268.0,643.0
64,Florida,Putnam,Donald Trump,REP,25514,True,29.6493,-81.6705,10388.0,411.0
65,Florida,St. Johns,Donald Trump,REP,110946,True,29.8976,-81.31,78386.0,610.0
66,Florida,St. Lucie,Donald Trump,REP,86831,True,27.2796,-80.3884,435182.0,634.0
