,state,county,candidate,party,total_votes,won,lat,lng,population,density,ln_total_votes
0,Delaware,Kent,Joe Biden,DEM,87025.0,True,39.161,-75.5202,125931.0,617.0,4.939644031956326
26,Delaware,New Castle,Joe Biden,DEM,170372.0,True,39.7415,-75.5416,70655.0,2503.0,5.23139822162385
52,Delaware,Sussex,Donald Trump,REP,98726.0,True,38.9091,-75.4227,11463.0,449.0,4.994431541418786
79,District of Columbia,Ward 1,Joe Biden,DEM,3155.0,True,38.9072,-77.0369,82404.0,12910.0,3.498999363580153
80,District of Columbia,Ward 2,Joe Biden,DEM,4667.0,True,38.9063,-77.034,76492.0,4624.0,3.669037800885156
81,District of Columbia,Ward 3,Joe Biden,DEM,1555.0,True,38.9884,-77.09,82450.0,3059.0,3.1917303933628562
82,District of Columbia,Ward 4,Joe Biden,DEM,18251.0,True,38.931,-77.038,86085.0,3740.0,4.261286665098458
83,District of Columbia,Ward 5,Joe Biden,DEM,8801.0,True,38.9717,-77.0089,88948.0,3369.0,3.944532020991981
84,District of Columbia,Ward 6,Joe Biden,DEM,37921.0,True,38.8869,-76.9896,102233.0,6893.0,4.5788797814285696
85,District of Columbia,Ward 7,Joe Biden,DEM,50464.0,True,38.8582,-76.9478,81270.0,3734.0,4.702981671648809
86,District of Columbia,Ward 8,Joe Biden,DEM,6564.0,True,38.8409,-76.9859,83272.0,3713.0,3.8171685723810556
87,Florida,Alachua,Joe Biden,DEM,7743.0,True,29.6804,-82.3459,203541.0,816.0,3.8889092592635315
96,Florida,Baker,Donald Trump,REP,2198.0,True,30.2809,-82.1253,6732.0,534.0,3.3420276880874717
98,Florida,Bay,Donald Trump,REP,4431.0,True,30.1995,-85.6003,149366.0,395.0,3.646501750031612
111,Florida,Bradford,Donald Trump,REP,15214.0,True,29.9474,-82.1129,5415.0,291.0,4.182243411919001
115,Florida,Brevard,Donald Trump,REP,76799.0,True,27.9631,-80.6593,496640.0,508.0,4.88535556511863
146,Florida,Broward,Joe Biden,DEM,90537.0,True,26.1412,-80.1464,181818.0,2029.0,4.956826099778944
183,Florida,Calhoun,Donald Trump,REP,80514.0,True,30.443,-85.0455,3273.0,396.0,4.905871403275963
185,Florida,Charlotte,Donald Trump,REP,25168.0,True,26.9918,-82.114,64335.0,872.0,4.400848705279212
195,Florida,Citrus,Donald Trump,REP,1106.0,True,28.8119,-82.5392,86578.0,223.0,3.0437551269686796
210,Florida,Clay,Donald Trump,REP,3842.0,True,30.1356,-81.7674,31058.0,891.0,3.584557360525675
220,Florida,Collier,Donald Trump,REP,4444.0,True,26.1844,-81.7031,30376.0,3003.0,3.64777405026883
243,Florida,Columbia,Donald Trump,REP,39553.0,True,30.1901,-82.6471,12166.0,396.0,4.597179429275773
247,Florida,DeSoto,Donald Trump,REP,13289.0,True,27.1862,-81.8521,8859.0,472.0,4.123492301422652
249,Florida,Dixie,Donald Trump,REP,27352.0,True,29.6386,-83.1248,2591.0,541.0,4.436989087788538
251,Florida,Duval,Joe Biden,DEM,6313.0,True,30.3322,-81.6749,1165107.0,466.0,3.800235789327354
256,Florida,Escambia,Donald Trump,REP,9629.0,True,30.4413,-87.1911,360711.0,901.0,3.983581186705791
269,Florida,Flagler,Donald Trump,REP,20570.0,True,29.5389,-81.2457,386415.0,357.0,4.313234291694724
