,Unnamed: 0,state,county,candidate,party,total_votes,won,lat,lng,population,density,TOTAL,ratio
0,0,Delaware,Kent,Joe Biden,DEM,44552,True,39.161,-75.5202,125931.0,617.0,87025,0.5119448434357943
1,1,Delaware,New Castle,Joe Biden,DEM,195034,True,39.7415,-75.5416,70655.0,2503.0,287633,0.6780654514607156
2,2,Delaware,Sussex,Donald Trump,REP,71230,True,38.9091,-75.4227,11463.0,449.0,129352,0.5506679448327045
3,3,District of Columbia,Ward 1,Joe Biden,DEM,39041,True,38.9072,-77.0369,82404.0,12910.0,41681,0.9366617883448094
4,4,District of Columbia,Ward 2,Joe Biden,DEM,29078,True,38.9063,-77.034,76492.0,4624.0,32881,0.8843405005930477
5,5,District of Columbia,Ward 3,Joe Biden,DEM,39397,True,38.9884,-77.09,82450.0,3059.0,44231,0.8907101354253804
6,6,District of Columbia,Ward 4,Joe Biden,DEM,42489,True,38.931,-77.038,86085.0,3740.0,45296,0.9380298481102084
7,7,District of Columbia,Ward 5,Joe Biden,DEM,43320,True,38.9717,-77.0089,88948.0,3369.0,46107,0.9395536469516559
8,8,District of Columbia,Ward 6,Joe Biden,DEM,56719,True,38.8869,-76.9896,102233.0,6893.0,62918,0.9014749356305032
9,9,District of Columbia,Ward 7,Joe Biden,DEM,36382,True,38.8582,-76.9478,81270.0,3734.0,38384,0.947842851187995
10,10,District of Columbia,Ward 8,Joe Biden,DEM,30897,True,38.8409,-76.9859,83272.0,3713.0,32858,0.9403189482013513
11,11,Florida,Alachua,Joe Biden,DEM,89704,True,29.6804,-82.3459,203541.0,816.0,142604,0.629042663599899
12,12,Florida,Baker,Donald Trump,REP,11911,True,30.2809,-82.1253,6732.0,534.0,14059,0.8472153069208336
13,13,Florida,Bay,Donald Trump,REP,66097,True,30.1995,-85.6003,149366.0,395.0,93024,0.7105370657034744
14,14,Florida,Bradford,Donald Trump,REP,10334,True,29.9474,-82.1129,5415.0,291.0,13632,0.7580692488262911
15,15,Florida,Brevard,Donald Trump,REP,207883,True,27.9631,-80.6593,496640.0,508.0,360764,0.5762298899003226
16,16,Florida,Broward,Joe Biden,DEM,618752,True,26.1412,-80.1464,181818.0,2029.0,957672,0.646100126139221
17,17,Florida,Calhoun,Donald Trump,REP,5274,True,30.443,-85.0455,3273.0,396.0,6526,0.8081520073551947
18,18,Florida,Charlotte,Donald Trump,REP,73243,True,26.9918,-82.114,64335.0,872.0,116340,0.629559910606842
19,19,Florida,Citrus,Donald Trump,REP,65352,True,28.8119,-82.5392,86578.0,223.0,93208,0.7011415329156295
20,20,Florida,Clay,Donald Trump,REP,84480,True,30.1356,-81.7674,31058.0,891.0,124405,0.6790723845504602
21,21,Florida,Collier,Donald Trump,REP,128950,True,26.1844,-81.7031,30376.0,3003.0,207818,0.6204948560759895
22,22,Florida,Columbia,Donald Trump,REP,23836,True,30.1901,-82.6471,12166.0,396.0,33042,0.7213849040614975
23,23,Florida,DeSoto,Donald Trump,REP,8313,True,27.1862,-81.8521,8859.0,472.0,12659,0.6566869420965321
24,24,Florida,Dixie,Donald Trump,REP,6759,True,29.6386,-83.1248,2591.0,541.0,8167,0.8275988735153668
