State_Name,Average of Mean,Average of Median,Average of Stdev
Alabama,54023.75287,63252.24713,42045.37548
Alaska,79178.36893,111026.4854,52765.1165
Arizona,63400.11494,80416.21839,44199.91133
Arkansas,52213.93215,52536.12389,40938.36578
California,78654.29711,101260.922,54015.27655
Colorado,73884.68199,100275.4732,49909.21456
Connecticut,89732.75637,121240.3938,58420.45326
Delaware,70948.57471,88087.02299,51659.93103
District of Columbia,90668.42188,93759.59375,62519.21875
Florida,61517.50912,75981.41119,45835.79258
Georgia,60576.5546,71933.02454,44905.47485
Hawaii,82650.94615,101567.3231,55521.31538
Idaho,56976.22449,82563.78912,42696.04762
Illinois,69358.19158,87136.53754,48968.74035
Indiana,59237.97724,83392.06401,42132.66999
Iowa,62707.26711,80718.20971,44921.89183
Kansas,61867.2,82650.06579,43029.42105
Kentucky,55473.39596,64634.44848,42354.59596
Louisiana,56202.15675,60662.21429,44777.89286
Maine,60708.52229,66040.71338,48075.12102
Maryland,88444.24785,114969.1979,55300.50258
Massachusetts,85645.65964,119074.3765,58787.32078
Michigan,60180.12163,71439.63858,43400.81668
Minnesota,71627.48513,88738.60094,49624.04695
Mississippi,49385.55031,57964.73899,40234.80189
Missouri,57164.86744,71547.3732,41979.06916
Montana,57740.69388,69054.2517,44478.69388
Nebraska,61944.63869,90841.01825,43302.22993
Nevada,66690.77395,91610.90421,45433.70498
New Hampshire,76698.99231,101924.0538,52431.08462
New Jersey,89565.40159,126972.7156,58207.30148
New Mexico,57366.10042,82735.49372,43526.10879
New York,77859.33633,102731.8344,54384.88174
North Carolina,58582.4235,71711.36142,44051.20621
North Dakota,65137.06723,83476.15126,47212.19328
Ohio,59942.47208,75219.85704,43203.44229
Oklahoma,55351.96444,62231.96653,42499.34519
Oregon,63597.0491,85136.76486,46565.75194
Pennsylvania,65276.99523,83725.59959,46897.46589
Puerto Rico,27841.71774,22522.41129,25516.26344
Rhode Island,72971.17431,105751.9817,52377
South Carolina,56081.79605,68655.78728,43346.52851
South Dakota,59675.608,83170.304,42906.624
Tennessee,56925.19237,65809.94693,43165.34163
Texas,66388.40424,87144.73963,46736.42012
Utah,72970.96124,110649.9186,47793.89922
Vermont,63966.17073,82101.90244,47543.0122
Virginia,80426.27871,105313.4361,51536.49419
Washington,75049.10898,101242.4845,50602.67452
West Virginia,52291.99597,63566.33468,42231.50403
Wisconsin,64526.2,79861.01194,45151.78955
Wyoming,70367.36111,118339.1389,46033.84722
