State_Name,Sum of ALand
Alaska,687861545521
Texas,254702146380
Oregon,157891279338
California,153976085489
Montana,130772514689
Colorado,111297546407
Nevada,109693489644
Arizona,102969682612
Utah,99353664352
New Mexico,92763532804
Kansas,89596928964
Idaho,87744714104
Nebraska,84008885414
Minnesota,80451990239
Missouri,80227471152
South Dakota,74551381586
Illinois,70717947964
Oklahoma,70058458106
Iowa,64923405449
Wyoming,62631615448
Florida,60337705565
Michigan,59885184684
Wisconsin,58746666201
Georgia,58726455334
Arkansas,58153972038
Alabama,57148053638
Washington,56062240179
New York,54277091772
North Carolina,53490273949
Mississippi,53094238240
North Dakota,52742486220
Pennsylvania,52281775636
Ohio,48340193084
Louisiana,46119989377
Indiana,43916875047
Tennessee,42449629583
Kentucky,40732576328
Virginia,40696578072
South Carolina,30346324489
Maine,27510051093
West Virginia,25547270333
Maryland,11128120821
New Hampshire,10382322830
Vermont,9490077711
Massachusetts,9193110094
New Jersey,8015863270
Hawaii,6979969142
Connecticut,5840156018
Puerto Rico,3724953549
Delaware,2025943635
Rhode Island,1034405160
District of Columbia,218888485
