State_ab,county,Labor Force,Employed,Unemployed,Unemployment Rate (%)
AL,Autauga,26405,24985,1420,5.40
AL,Baldwin,98910,92751,6159,6.20
AL,Barbour,8680,8004,676,7.80
AL,Bibb,8712,8073,639,7.30
AL,Blount,25116,23973,1143,4.60
AL,Bullock,4877,4582,295,6.00
AL,Butler,9236,8345,891,9.60
AL,Calhoun,47022,43367,3655,7.80
AL,Chambers,16093,14884,1209,7.50
AL,Cherokee,11672,11073,599,5.10
AL,Chilton,19936,18839,1097,5.50
AL,Choctaw,4699,4351,348,7.40
AL,Clarke,7899,7116,783,9.90
AL,Clay,6140,5865,275,4.50
AL,Cleburne,5852,5556,296,5.10
AL,Coffee,22008,20938,1070,4.90
AL,Colbert,23895,22152,1743,7.30
AL,Conecuh,4582,4214,368,8.00
AL,Coosa,4428,4156,272,6.10
AL,Covington,15342,14500,842,5.50
AL,Crenshaw,6371,5971,400,6.30
AL,Cullman,38862,36992,1870,4.80
AL,Dale,20928,19793,1135,5.40
AL,Dallas,14836,13091,1745,11.80
AL,DeKalb,31289,29721,1568,5.00
AL,Elmore,37662,35657,2005,5.30
AL,Escambia,14604,13611,993,6.80
AL,Etowah,41417,37912,3505,8.50
AL,Fayette,6664,6294,370,5.60
AL,Franklin,14567,13844,723,5.00
AL,Geneva,11029,10520,509,4.60
AL,Greene,3094,2728,366,11.80
AL,Hale,6165,5529,636,10.30
AL,Henry,6909,6535,374,5.40
AL,Houston,47221,44396,2825,6.00
AL,Jackson,23091,21727,1364,5.90
AL,Jefferson,320394,298447,21947,6.90
AL,Lamar,5788,5474,314,5.40
AL,Lauderdale,42649,40026,2623,6.20
AL,Lawrence,14528,13736,792,5.50
AL,Lee,76533,72090,4443,5.80
AL,Limestone,45890,43726,2164,4.70
AL,Lowndes,3723,3182,541,14.50
AL,Macon,8186,7327,859,10.50
AL,Madison,189632,179871,9761,5.10
AL,Marengo,7864,7319,545,6.90
AL,Marion,13291,12545,746,5.60
AL,Marshall,44783,42700,2083,4.70
AL,Mobile,195089,178158,16931,8.70
AL,Monroe,7626,6943,683,9.00
AL,Montgomery,108329,99047,9282,8.60
AL,Morgan,59737,56771,2966,5.00
AL,Perry,3452,3038,414,12.00
AL,Pickens,7688,7128,560,7.30
AL,Pike,15841,14976,865,5.50
AL,Randolph,9570,9063,507,5.30
AL,Russell,23819,22447,1372,5.80
AL,St. Clair,41389,39149,2240,5.40
AL,Shelby,117880,112894,4986,4.20
AL,Sumter,4780,4410,370,7.70
AL,Talladega,36433,33605,2828,7.80
AL,Tallapoosa,18204,16822,1382,7.60
AL,Tuscaloosa,103776,96225,7551,7.30
AL,Walker,25210,23583,1627,6.50
AL,Washington,6823,6219,604,8.90
AL,Wilcox,2921,2449,472,16.20
AL,Winston,10271,9734,537,5.20
AK,Aleutians East Borough,2515,2411,104,4.10
AK,Aleutians West Census Area,3835,3655,180,4.70
AK,Anchorage Borough/municipality,147223,135682,11541,7.80
AK,Bethel Census Area,6987,6136,851,12.20
AK,Bristol Bay Borough,393,362,31,7.90
AK,Chugach Census Area,3251,2972,279,8.60
AK,Copper River Census Area,1290,1153,137,10.60
AK,Denali Borough,645,534,111,17.20
AK,Dillingham Census Area,1721,1570,151,8.80
AK,Fairbanks North Star Borough,44597,41628,2969,6.70
AK,Haines Borough,1021,854,167,16.40
AK,Hoonah-Angoon Census Area,1055,908,147,13.90
AK,Juneau Borough/city,16306,15168,1138,7.00
AK,Kenai Peninsula Borough,26625,24098,2527,9.50
AK,Ketchikan Gateway Borough,6481,5823,658,10.20
AK,Kodiak Island Borough,6068,5666,402,6.60
AK,Kusilvak Census Area,2288,1817,471,20.60
AK,Lake and Peninsula Borough,613,543,70,11.40
AK,Matanuska-Susitna Borough,48388,44183,4205,8.70
AK,Nome Census Area,3939,3508,431,10.90
