City,State,Venue,Other speakers
El Paso,TX,El Paso County Coliseum,"Brad Parscale, John Cornyn, Lance Berkman, Ted Cruz, Donald Trump Jr."
Grand Rapids,MI,Van Andel Arena,"Donald Trump Jr., Brad Parscale"
Green Bay,WI,Resch Center,"Mike Gallagher, Diamond and Silk, Sean Duffy, Donald Trump Jr., Sarah Sanders"
Panama City Beach,FL,Aaron Bessant Park Amphitheater,"Ron DeSantis, Marco Rubio"
Montoursville,PA,Williamsport Regional Airport,Fred Keller
Orlando,FL,Amway Center,"Donald Trump Jr., Mike Pence, Melania Trump, Karen Pence, Lara Trump, Sarah Sanders"
Greenville,NC,Williams Arena,"Mike Pence, Greg Murphy, Dan Bishop"
Cincinnati,OH,U.S. Bank Arena,"Mike Pence, Donald Trump Jr."
Manchester,NH,SNHU Arena,Brad Parscale
Fayetteville,NC,Crown Expo Center,"Dan Bishop, Greg Murphy"
Rio Rancho,NM,Santa Ana Star Center,Brad Parscale
Houston,TX,NRG Stadium,"Ted Cruz, John Cornyn"
Minneapolis,MN,Target Center,"Mike Pence, Eric Trump"
Lake Charles,LA,James E. Sudduth Coliseum,"Ralph Abraham, Eddie Rispone"
Dallas,TX,American Airlines Center,
Tupelo,MS,BancorpSouth Arena,Tate Reeves
Lexington,KY,Rupp Arena,Matt Bevin
Monroe,LA,Monroe Civic Center,"Eddie Rispone, Willie Robertson"
Bossier City,LA,CenturyLink Center,Eddie Rispone
Sunrise,FL,BB&T Center,Mike Pence
Hershey,PA,Giant Center,Mike Pence
Battle Creek,MI,Kellogg Arena,"John E. James, Mike Pence"
Miami,FL,El Rey Jesús,
Toledo,OH,Huntington Center,Mike Pence
Milwaukee,WI,UW–Milwaukee Panther Arena,Mike Pence
Wildwood,NJ,Wildwoods Convention Center,"Jeff Van Drew, Kellyanne Conway"
Des Moines,IA,Knapp Center,Mike Pence
Manchester,NH,SNHU Arena,"Donald Trump Jr., Mike Pence"
Phoenix,AZ,Arizona Veterans Memorial Coliseum,"Martha McSally, Donald Trump Jr."
Colorado Springs,CO,Broadmoor World Arena,"Cory Gardner, Mike Pence, Dana White"
Las Vegas,NV,Las Vegas Convention Center,Mike Pence
North Charleston,SC,North Charleston Coliseum & Performing Arts Center,"Lindsey Graham, Tim Scott"
Charlotte,NC,Bojangles' Coliseum,"Lara Trump, Eric Trump"
Tulsa,OK,BOK Center,"Lara Trump, Eric Trump, Mike Pence, Diamond and Silk, Kimberly Guilfoyle, T. W. Shannon"
Phoenix,AZ,Dream City Church,"Donald Trump Jr., Kimberly Guilfoyle, Charlie Kirk"
Mankato,MN,Mankato Regional Airport,
Oshkosh,WI,Wittman Regional Airport,
Yuma,AZ,Yuma International Airport,
