State,Unemployment Rate
Alabama,3.10%
Alaska,4.30%
Arizona,3.50%
Arkansas,3.20%
California,5.20%
Colorado,3.60%
Connecticut,4.40%
Delaware,3.30%
District of Columbia,5.70%
Florida,3.30%
Georgia,3.40%
Hawaii,4.60%
Idaho,2.10%
Illinois,4.70%
Indiana,3.00%
Iowa,2.40%
Kansas,2.80%
Kentucky,3.20%
Louisiana,4.40%
Maine,3.00%
Maryland,3.90%
Massachusetts,4.40%
Michigan,4.20%
Minnesota,3.30%
Mississippi,3.60%
Missouri,2.90%
Montana,2.40%
Nebraska,1.80%
Nevada,6.10%
New Hampshire,2.40%
New Jersey,5.30%
New Mexico,4.40%
New York,5.50%
North Carolina,3.50%
North Dakota,1.90%
Ohio,3.40%
Oklahoma,3.60%
Oregon,3.90%
Pennsylvania,4.00%
Rhode Island,5.00%
South Carolina,3.30%
South Dakota,1.80%
Tennessee,3.20%
Texas,4.00%
Utah,2.40%
Vermont,2.70%
Virginia,3.00%
Washington,3.70%
West Virginia,3.30%
Wisconsin,2.30%
Wyoming,2.40%
Puerto Rico,5.80%
